product_id,domain
10903052,PWP
20562158,PWP
24229915,PWP
2100123028,PWP
10903112,PWP
19146640,PWP
2100564222,PWP
24229916,PWP
2100564223,PWP
26256613,PWP
38111491,PWP
2100178024,PWP
2100178025,PWP
7296800,PWP
7296801,PWP
7296803,PWP
6302739,PWP
9119106,PWP
7267178,PWP
23510688,PWP
2100124329,PWP
23510689,PWP
24381405,PWP
2100124492,PWP
3961028,PWP
13432070,PWP
13432072,PWP
13432075,PWP
13432077,PWP
13432080,PWP
13432083,PWP
13432086,PWP
13432088,PWP
13432091,PWP
5344779,PWP
5337539,PWP
5337474,PWP
5338959,PWP
5337542,PWP
9119107,PWP
3961029,PWP
3961030,PWP
5337465,PWP
5337522,PWP
5337533,PWP
5337534,PWP
2100542946,PWP
5337537,PWP
2100542947,PWP
5337538,PWP
5268270,PWP
2100542948,PWP
5337568,PWP
2100124704,PWP
5337551,PWP
5337554,PWP
5337557,PWP
2100124705,PWP
5337562,PWP
5337468,PWP
3961032,PWP
5337569,PWP
5337572,PWP
5337575,PWP
5096391,PWP
5096393,PWP
5337582,PWP
5337585,PWP
5268280,PWP
5096396,PWP
5344796,PWP
5337576,PWP
5337578,PWP
9119108,PWP
5344797,PWP
5268272,PWP
5268274,PWP
9119109,PWP
5096372,PWP
5096373,PWP
5096376,PWP
5337588,PWP
5337591,PWP
5268279,PWP
5337594,PWP
24829133,PWP
5337604,PWP
5096381,PWP
5337610,PWP
5344798,PWP
5337595,PWP
5337597,PWP
5337601,PWP
9119110,PWP
9119111,PWP
9713927,PWP
9713929,PWP
9713930,PWP
5344801,PWP
5268275,PWP
5268278,PWP
5337608,PWP
32613967,PWP
2100543987,PWP
5346844,PWP
8961182,PWP
8961183,PWP
8961193,PWP
11145858,PWP
8961322,PWP
11145859,PWP
2100564221,PWP
2101546336,PWP
2101546338,PWP
11145856,PWP
9068313,PWP
22757942,PWP
27789659,PWP
2101592555,PWP
11145860,PWP
9068312,PWP
34104723,PWP
2100088957,PWP
2101763797,Indigo
90275,Indigo
2101763971,Indigo
2101649038,Indigo
2101764233,Indigo
2101764234,Indigo
2101764292,Indigo
90623,Indigo
18576095,PWP
2102283467,PWP
2101686526,PWP
2102148575,PWP
2102148574,PWP
2101057656,PWP
4211034,PWP
2102283466,PWP
2102241196,PWP
2102823046,PWP
2102758479,PWP
2102891958,PWP
2102400573,PWP
2102030256,PWP
2102891956,PWP
2102221028,PWP
2102891957,PWP
2102283465,PWP
2102823045,PWP
2102758480,PWP
2102891959,PWP
2102283464,PWP
