MatchString,Product
TJ Series,TJ Series
C5XX,C5XX
FB7x00,FB7x00
XP Series,XP Series 
FB6700,FB6700 
FB6100,FB6100
FB6300,FB6300
HP Scitex 15500 Corrugated Press,HP Scitex 15500 Corrugated Press
HP Scitex 17000 Corrugated Press,HP Scitex 17000 Corrugated Press
HP Scitex 11000 Industrial Press,HP Scitex 11000 Industrial Press 
HP Scitex 9000 Industrial Press,HP Scitex 9000 Industrial Press
