category_Id
5
13
15
54
19
63
58
53
62
160
70
72
69
146
159
39
151
120
38
152
309
34
50
49
156
158
155
164
213
186
285
118
162
296
295
297
301
140
141
299
166
148
183
191
189
205
188
239
468
242
145
244
282
41
431
394
300
331
341
358
398
393
392
411
432
413
294
540
509
508
592
437
514
539
525
577
511
596
597
601
