Device Name,Pattern
HP Indigo 5600 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?5600(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 5900 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?5900(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 5000 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?5000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 3500 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?3500(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 3550 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?3550(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 3050 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?3050(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 3000 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?3000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 6K Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?6K(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 35K Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?35K(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 7900 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?7900(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 25K Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?25K(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 15K Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?15K(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo WS6000p Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?WS6000p(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo WS6000 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?WS6000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 6r Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?6r(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 6P Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?6P(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 5r Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?5r(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 5500 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?5500(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo ws2000 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?WS2000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo s2000 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?s2000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo ws4000 Digital Press ,\b(?:HP\s*)?(?:Indigo\s*)?ws4000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo ws4050 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?ws4050(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo ws4500 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?ws4500(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo WS4600 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?ws4600(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo W7200 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?W7200(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo W7250 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?W7250(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo W72x0 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?W72x0(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 200K Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?200K(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo V12 Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?V12(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 120K Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?120K(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 18K Digital Press,\b(?:HP\s*)?(?:Indigo\s*)?18K(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 5500 Press,\b(?:HP\s*)?(?:Indigo\s*)?5500(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 1000 Press,\b(?:HP\s*)?(?:Indigo\s*)?1000(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
HP Indigo 1050 Press,\b(?:HP\s*)?(?:Indigo\s*)?1050(?:\s*(?:Digital\s*Press|Press(?:es)?))*\b
