documentID,products
561,"['HP Indigo 3500 Digital Press, HP Indigo 3550 Digital Press, HP Indigo 3050 Digital Press, HP Indigo 3000 Digital Press', 'HP Indigo 5600 Digital Press, HP Indigo 5900 Digital Press, HP Indigo 5000 Digital Press, HP Indigo 5r Digital Press, HP Indigo 5500 Digital Press, HP Indigo 5500 Digital Press']"
562,"['HP Indigo 3500 Digital Press, HP Indigo 3550 Digital Press, HP Indigo 3050 Digital Press, HP Indigo 3000 Digital Press', 'HP Indigo 5600 Digital Press, HP Indigo 5900 Digital Press, HP Indigo 5000 Digital Press, HP Indigo 5r Digital Press, HP Indigo 5500 Digital Press, HP Indigo 5500 Digital Press']"
564,"['HP Indigo 3500 Digital Press', 'HP Indigo 5000 Digital Press']"
565,"['HP Indigo 3500 Digital Press, HP Indigo 3550 Digital Press, HP Indigo 3050 Digital Press, HP Indigo 3000 Digital Press', 'HP Indigo 5600 Digital Press, HP Indigo 5900 Digital Press, HP Indigo 5000 Digital Press, HP Indigo 5r Digital Press, HP Indigo 5500 Digital Press, HP Indigo 5500 Digital Press']"
572,
579,
582,"['HP Indigo 3500 Digital Press, HP Indigo 3550 Digital Press, HP Indigo 3050 Digital Press, HP Indigo 3000 Digital Press']"
596,
597,
598,
599,"['HP Indigo 3000 Digital Press', 'HP Indigo 3050 Digital Press']"
600,"['HP Indigo 3000 Digital Press', 'HP Indigo 3050 Digital Press']"
605,
606,
607,"['HP Indigo 3000 Digital Press', 'HP Indigo 3050 Digital Press']"
610,"['HP Indigo 3500 Digital Press', 'HP Indigo 5000 Digital Press']"
611,"['HP Indigo 3500 Digital Press', 'HP Indigo 5000 Digital Press']"
612,"['HP Indigo 10000 Digital Press, HP Indigo 10000HD Digital Press, HP Indigo 10r Digital Press, HP Indigo 12000 Digital Press, HP Indigo 12000HD Digital Press, HP Indigo 15K Digital Press, HP Indigo 18K Digital Press']"
628,
631,
632,
659,
660,
685,"['HP Indigo 3500 Digital Press', 'HP Indigo 5000 Digital Press']"
954,
1005,"['HP Indigo 10000 Digital Press, HP Indigo 10000HD Digital Press, HP Indigo 10r Digital Press, HP Indigo 12000 Digital Press, HP Indigo 12000HD Digital Press, HP Indigo 15K Digital Press, HP Indigo 18K Digital Press']"
1006,
1022,
1044,"['HP Indigo 3500 Digital Press, HP Indigo 3550 Digital Press, HP Indigo 3050 Digital Press, HP Indigo 3000 Digital Press', 'HP Indigo 5600 Digital Press, HP Indigo 5900 Digital Press, HP Indigo 5000 Digital Press, HP Indigo 5r Digital Press, HP Indigo 5500 Digital Press, HP Indigo 5500 Digital Press']"
1047,
1068,['HP Indigo 3550 Digital Press']
1076,
1077,
1078,"['HP Indigo 3000 Digital Press', 'HP Indigo 3050 Digital Press']"
1079,"['HP Indigo 3000 Digital Press', 'HP Indigo 3050 Digital Press']"
1084,
1085,
1086,"['HP Indigo 3000 Digital Press', 'HP Indigo 3050 Digital Press']"
