,catalog_number,products
136,CA494-21340,"['HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press']"
137,CA494-21270,"['HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press']"
138,CA494-21330,"['HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press']"
139,CA494-21320,"['HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press']"
140,CA494-00352,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 10000 Digital Press']"
141,CA494-00372,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 10000 Digital Press']"
142,CA494-00312,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 10000 Digital Press']"
143,CA494-21290,"['HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press']"
144,CA394-27090,"['HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 6P Digital Press']"
145,CA394-27130,"['HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 6P Digital Press']"
146,CA394-27080,"['HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 6P Digital Press']"
147,CA394-27060,"['HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 6P Digital Press']"
148,CA394-27110,"['HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 6P Digital Press']"
149,CA394-27120,"['HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 6P Digital Press']"
150,CA394-27050,"['HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 6P Digital Press']"
151,CA394-28270,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
152,CA394-28280,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
153,CA394-28290,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
154,CA394-28300,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
155,CA394-28350,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
156,CA394-28310,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
157,CA394-28320,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
158,CA394-28330,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
159,CA394-28340,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
160,CA494-24810,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 100k HD Digital Press']"
161,CA494-24760,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 10000 Digital Press']"
162,CA494-24770,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 100k HD Digital Press']"
163,CA494-24800,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 100k HD Digital Press']"
164,CA494-24730,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 100k HD Digital Press']"
165,CA494-24790,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 100k HD Digital Press']"
166,CA494-24780,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 100k HD Digital Press']"
167,CA394-28750,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
168,CA394-28710,"['HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press']"
169,CA394-28620,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
170,CA394-28630,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
171,CA394-28660,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
172,CA394-28640,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
173,CA394-28700,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
174,CA394-28690,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
175,CA394-28670,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
176,CA394-28680,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
177,CA394-28730,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
178,CA394-28650,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
179,CA394-28810,['HP Indigo 5900 Digital Press']
180,CA394-28610,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
181,CA394-28780,"['HP Indigo 6000 Series Digital Presses', 'HP Indigo W7200 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 8000 Digital Press']"
182,CA394-25910,"['HP Indigo 7800 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
183,CA394-25930,"['HP Indigo 7800 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
184,CA394-25900,"['HP Indigo 7800 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
185,CA394-25980,"['HP Indigo 7800 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
186,CA394-25920,"['HP Indigo 7800 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
187,CA394-25960,"['HP Indigo 7800 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
188,CA394-25970,['HP Indigo 7000 Digital Press']
189,CA394-25940,"['HP Indigo 7800 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
190,CA394-25950,"['HP Indigo 7800 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7900 Digital Press']"
191,CA394-28410,"['HP Indigo 6900 Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 6800 Series Digital Presses']"
192,CA394-28420,"['HP Indigo 6900 Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 6800 Series Digital Presses']"
193,CA394-28390,"['HP Indigo 6900 Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 6800 Series Digital Presses']"
194,CA394-28430,"['HP Indigo 6900 Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 6800 Series Digital Presses']"
195,CA394-28460,"['HP Indigo 6900 Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 6800 Series Digital Presses']"
196,CA394-28470,"['HP Indigo 6900 Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 6800 Series Digital Presses']"
197,CA394-28450,"['HP Indigo 6900 Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 6800 Series Digital Presses']"
198,CA394-28440,"['HP Indigo 6900 Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 6800 Series Digital Presses']"
199,CA394-28400,"['HP Indigo 6900 Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 6800 Series Digital Presses']"
200,CA394-23230,"['HP Indigo 7000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
201,CA394-23210,"['HP Indigo 7000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
202,CA394-23240,"['HP Indigo 7000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
203,CA394-23290,"['HP Indigo 7000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
204,CA394-23260,"['HP Indigo 7000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
205,CA394-23270,"['HP Indigo 7000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
206,CA394-23280,"['HP Indigo 7000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
207,CA394-23250,"['HP Indigo 7000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
208,CA394-23220,"['HP Indigo 7000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
209,CA394-25090,[]
210,CA394-25050,"['HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press']"
211,CA394-25060,"['HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press']"
212,CA394-25080,"['HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press']"
213,CA394-25030,"['HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press']"
214,CA394-27100,"['HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 6P Digital Press']"
215,CA394-27070,"['HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 6P Digital Press']"
216,CA394-24610,[]
217,CA394-28930,['HP Indigo WS6000 Digital Press']
218,CA394-28860,"['HP Indigo 6P Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6r Digital Press', 'HP Indigo 6600 Series Digital Presses']"
219,CA394-28890,[]
220,CA394-28870,"['HP Indigo 6P Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 6900 Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6r Digital Press', 'HP Indigo 6600 Series Digital Presses']"
221,CA394-28900,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
222,CA394-28130,"['HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press']"
223,CA394-28230,"['HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press']"
224,CA394-28200,"['HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press']"
225,CA494-19980,[]
226,CA394-23120,['HP Indigo 7000 Digital Press']
227,CA394-23150,['HP Indigo 7000 Digital Press']
228,PPC-000410,"['HP Indigo 30000 Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 30000 Series Digital Presses']"
229,PPC-000220,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
230,PPC-000210,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
231,PPC-000180,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
232,PPC-000190,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
233,PPC-000200,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
234,PPC-000340,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
235,PPC-000350,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
236,CA594-00410,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
237,CA494-00221,"['HP Indigo 25K Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
238,CA494-00291,"['HP Indigo 25K Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
239,CA494-09040,['HP Indigo 35K Digital Press']
240,CA494-09020,['HP Indigo 35K Digital Press']
241,CA494-09070,['HP Indigo 35K Digital Press']
242,PPC-000360,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
243,PPC-000370,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
244,PPC-000380,"['HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
245,PPC-000390,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
246,PPC-000400,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
247,CA494-25070,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
248,CA494-25040,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
249,CA494-25090,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
250,PPC-000420,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
251,PPC-000430,"['HP Indigo 25K Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
252,PPC-000440,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
253,CA594-00280,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
254,CA594-00260,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
255,CA594-00240,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
256,CA594-00310,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
257,CA594-00300,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
258,CA494-08880,"['HP Indigo 15K Digital Press', 'HP Indigo 15k HD Digital Press']"
259,CA494-08870,"['HP Indigo 15K Digital Press', 'HP Indigo 15k HD Digital Press']"
260,CA494-08860,"['HP Indigo 15K Digital Press', 'HP Indigo 15k HD Digital Press']"
261,CA494-08850,"['HP Indigo 15K Digital Press', 'HP Indigo 15k HD Digital Press']"
262,CA394-30930,"['HP Indigo 7K Digital Press', 'HP Indigo 7eco Digital Press']"
263,CA394-30920,"['HP Indigo 7K Digital Press', 'HP Indigo 7eco Digital Press']"
264,CA394-30910,"['HP Indigo 7K Digital Press', 'HP Indigo 7eco Digital Press']"
265,CA394-30900,"['HP Indigo 7K Digital Press', 'HP Indigo 7eco Digital Press']"
266,CA394-30890,"['HP Indigo 7K Digital Press', 'HP Indigo 7eco Digital Press']"
267,CA394-30970,"['HP Indigo 7K Digital Press', 'HP Indigo 7eco Digital Press']"
268,CA394-30960,"['HP Indigo 7K Digital Press', 'HP Indigo 7eco Digital Press']"
269,CA394-30950,"['HP Indigo 7K Digital Press', 'HP Indigo 7eco Digital Press']"
270,CA394-30940,"['HP Indigo 7K Digital Press', 'HP Indigo 7eco Digital Press']"
271,CA394-31090,"['HP Indigo 6900 Digital Press', 'HP Indigo 6800 Series Digital Presses']"
272,PPC-000480,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
273,PPC-000470,"['HP Indigo 6900 Digital Press', 'HP Indigo WS6800p Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo WS6600 Digital Press', 'HP Indigo WS6800 Digital Press']"
274,PPC-000460,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 30000 Series Digital Presses']"
275,TS5OM-00003,"['HP Indigo 1x000 Series Digital Presses', 'HP Indigo 25K Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press']"
276,TS5OM-00004,"['HP Indigo 100K Digital Press', 'HP Indigo 100k HD Digital Press']"
277,TS3OM-00003,"['HP Indigo 8000 Digital Press', 'HP Indigo 6000 Series Digital Presses']"
278,PPC-000510,"['HP Indigo 8x00 Series Digital Presses', 'HP Indigo 7x00 Digital Press', 'HP Indigo 6x00 Series Digital Presses']"
279,TS3OM-00007,"['HP Indigo 7r Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 7eco Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 7500 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 7600 Digital Press']"
280,CN-2587,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 7900 Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 100K Digital Press', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
281,CN-2593,"['HP Indigo 25K Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 20000 Series Digital Presses']"
282,CN-2596,"['HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press']"
283,CA394-28120,"['HP Indigo 8000 Digital Press', 'HP Indigo 8K Digital Press']"
284,CN-2586,"['HP Indigo 15k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 100k HD Digital Press']"
285,CA394-11393,['HP Indigo WS6000 Digital Press']
286,CA394-11383,['HP Indigo WS6000 Digital Press']
287,CA394-11343,['HP Indigo WS6000 Digital Press']
288,CA394-11353,['HP Indigo WS6000 Digital Press']
289,CA394-11333,['HP Indigo WS6000 Digital Press']
290,CA394-11363,['HP Indigo WS6000 Digital Press']
291,CA394-11403,['HP Indigo WS6000 Digital Press']
292,CA394-11413,['HP Indigo WS6000 Digital Press']
