,catalog_number,products
21,CN-2674,"['HP Indigo 7r Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 6900 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6r Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 5r Digital Press', 'HP Indigo 6P Digital Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 8K Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 5500 Digital Press', 'HP Indigo W7250 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses', 'HP Indigo 7eco Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo W7200 Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 5500 Press']"
22,TS5OM-00013,['HP Indigo 120K Digital Press']
23,TS4OM-00015,['HP Indigo 18K Digital Press']
24,TN-2398,"['HP Indigo 30000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo WS6600 Digital Press', 'HP Indigo WS6000 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo WS6800 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
25,TN-2300,"['HP Indigo 30000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo WS6600 Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo WS6800 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses']"
26,TN-2213,"['HP Indigo WS6600 Digital Press', 'HP Indigo WS6800 Digital Press']"
27,TN-1826,"['HP Indigo 10000 HD Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 7800 Digital Press']"
28,TS5ES-00059,"['HP Indigo 7r Digital Press', 'HP Indigo 10r Digital Press', 'HP Indigo 6900 Digital Press', 'HP Indigo 15K Digital Press', 'HP Indigo 6000 Series Digital Presses', 'HP Indigo 6r Digital Press', 'HP Indigo 6600 Series Digital Presses', 'HP Indigo 12000 Digital Press', 'HP Indigo 20000 Digital Press', 'HP Indigo 7600 Digital Press', 'HP Indigo ws2000 Digital Press', 'HP Indigo 10000 Digital Press', 'HP Indigo 5r Digital Press', 'HP Indigo 6P Digital Press', 'HP Indigo 200K Digital Press', 'HP Indigo S2000 Press', 'HP Indigo 12000 HD Digital Press', 'HP Indigo 3550 Digital Press', 'HP Indigo 25K Digital Press', 'HP Indigo WS4600 Digital Press', 'HP Indigo 1050 Press', 'HP Indigo 7000 Digital Press', 'HP Indigo 15k HD Digital Press', 'HP Indigo 35K Digital Press', 'HP Indigo 8000 Digital Press', 'HP Indigo 5600 Digital Press', 'HP Indigo ws4500 Digital Press', 'HP Indigo 10000 HD Digital Press', 'HP Indigo 30000 Digital Press', 'HP Indigo 6800 Series Digital Presses', 'HP Indigo 8K Digital Press', 'HP Indigo 7800 Digital Press', 'HP Indigo 5500 Digital Press', 'HP Indigo 5000 Digital Press', 'HP Indigo W7250 Digital Press', 'HP Indigo 5900 Digital Press', 'HP Indigo 7K Digital Press', 'HP Indigo 3500 Digital Press', 'HP Indigo 20000 Series Digital Presses', 'HP Indigo 30000 Series Digital Presses', 'HP Indigo 7eco Digital Press', 'HP Indigo 6K Digital Press', 'HP Indigo s2000 Digital Press', 'HP Indigo 100k HD Digital Press', 'HP Indigo 100K Digital Press', 'HP Indigo 7900 Digital Press', 'HP Indigo 5500 Press']"
29,CA293-04190,"['HP Indigo 5500 Digital Press', 'HP Indigo 5500 Press']"
30,CA293-07470,['HP Indigo 5600 Digital Press']
